market,group,n,mean,sd,se,t,p,median
spread,1..3,1008,0.7906746031746031,15.527635208079289,0.4890745382084342,1.6166750493104443,0.10626164276205256,0.0
spread,<= -3,340,-0.9323529411764706,14.912930098503537,0.8087671884214974,-1.1528075749415359,0.24980159852223963,-0.25
spread,no move,675,0.39,14.892674647632553,0.5732193144509447,0.6803678629942183,0.49650520132972964,0.0
spread,>= 3,302,-0.5629139072847682,15.40792819562708,0.8866266363713526,-0.6348939724939626,0.5259798655802059,0.0
spread,-1..0,707,0.11633663366336634,15.500993471400415,0.5829748595320305,0.19955686212052584,0.8418846293334745,0.5
spread,0..1,1150,0.004565217391304348,15.611199939847273,0.46034917141125886,0.009916858060826077,0.9920893432556585,0.0
spread,-3..-1,1078,0.004406307977736549,15.436587167198196,0.4701559203046398,0.009372014234940315,0.9925240596699945,0.0
total,>= 3,318,1.5212264150943395,15.915395817987427,0.8924910796080323,1.7044724029762153,0.08927269190368564,1.0
total,0..1,866,0.6128752886836027,16.208915299654247,0.5508013636995727,1.1126974787554946,0.2661475062356378,-0.5
total,1..3,879,0.31513083048919227,16.742032537453206,0.5646947421928326,0.5580551879506983,0.5769489651076837,0.0
total,-1..0,610,0.3401639344262295,15.410144814098024,0.6239385257542976,0.5451882202898038,0.5858236759454238,0.0
total,-3..-1,1454,0.12121733149931224,15.916807721036275,0.41742049299242756,0.29039621564893137,0.7715545780500929,-0.5
total,no move,442,0.21097285067873303,15.427387467923046,0.7338059900017914,0.2875049448400087,0.7738607672831371,-0.5
total,<= -3,699,0.10228898426323318,15.263384203113057,0.5773142113398365,0.17718078345211682,0.8594177901176704,-0.5
