group,n,mean,sd,se,t,p,median,settled,rate,rate_z,beats_vig
<200mi,1049,-1.009771210676835,15.565492403531582,0.480590431435955,-2.1011055248431436,0.035870054387993185,-0.5,1032,0.48158914728682173,-1.1828883320929102,False
200-500,1943,0.6295676788471436,15.463526716611929,0.35081014869860694,1.7946107921410985,0.07287120240348764,0.0,1902,0.5042060988433228,0.36687213438244193,False
1500+,339,0.9277286135693216,15.410973032094825,0.8370091610497942,1.1083852563880485,0.2684835324719019,1.0,332,0.5271084337349398,0.9878783399072133,False
500-1000,1682,-0.25936385255648037,15.299769140873424,0.3730541555206992,-0.6952445073141381,0.48699817651158106,0.0,1655,0.49969788519637465,-0.024581082304297674,False
1000-1500,427,0.4718969555035129,16.144495912571784,0.781286916911073,0.6039995618629114,0.5461654382558156,0.0,416,0.5096153846153846,0.39223227027636665,False
,338,-0.22189349112426035,14.88868020290811,0.8098374411072483,-0.27399757020480187,0.7842543547042334,0.5,334,0.5299401197604791,1.094351310329166,False
