group,n,graded,pushes,mean_clv,se,t,beat_rate,beat_rate_z,is_null
Atlas model,4555,3963,592,0.3125137211855104,0.08212459032280116,3.805361097780037,0.5435276305828918,5.480334396931937,False
Constant (4.1),4555,3963,592,0.05378704720087816,0.08225119453916359,0.6539363653286234,0.4753974261922786,-3.097580311309352,True
Predictions shuffled within season,4555,3963,592,-0.0002195389681668496,0.08225505618766162,-0.0026690027135350836,0.47993943981831944,-2.5257193307599373,True
"Opening line + N(0,1)",4555,3963,592,-0.018551042810098794,0.08225459689298185,-0.2255319886162084,0.4882664647993944,-1.477307533086,True
Closing line (known tautology),3963,3963,0,1.8116326015644713,0.0900566367437067,20.116591814551313,1.0,62.95236294214856,True
