group,n,graded,pushes,mean_clv,se,t,beat_rate,beat_rate_z
All games,4555,3963,592,0.3125137211855104,0.08212459032280116,3.805361097780037,0.5435276305828918,5.480334396931937
Move <= 3 points,4106,3514,592,0.09376522162688748,0.021439193485310665,4.37354239519933,0.537279453614115,4.419777561574368
Line moved at all,3785,3785,0,0.37569352708058124,0.09879827747173552,3.8026323605496124,0.5447820343461031,5.510192309407893
Regular season only,4134,3580,554,0.3836477987421384,0.08918381632177905,4.301764765906862,0.553072625698324,6.350999569416321
