market,threshold,bets,settled,rate,rate_z,beats_vig
sides,0,5671,5671,0.4974431317228002,-0.3850952610427582,False
sides,1,4893,4893,0.49662783568362967,-0.47176566733966774,False
sides,2,4200,4200,0.49857142857142855,-0.1851640199545125,False
sides,3,3567,3567,0.49481356882534344,-0.6195126366141244,False
sides,4,2924,2924,0.49623803009575923,-0.40684969680042044,False
sides,6,1931,1931,0.49249093733816673,-0.6599436600091939,False
sides,8,1210,1210,0.48760330578512395,-0.8624393618641044,False
sides,10,767,767,0.4602346805736636,-2.2025823412560626,False
totals,0,5708,5708,0.5199719691660827,3.0178167505224205,False
totals,1,4800,4800,0.5210416666666666,2.915618859407604,False
totals,2,3885,3885,0.5176319176319176,2.1979866767442946,False
totals,3,3091,3091,0.5205435134260757,2.2843056735523044,False
totals,4,2380,2380,0.5243697478991597,2.3777681789032865,True
totals,6,1285,1285,0.5260700389105059,1.8690599813830981,False
totals,8,649,649,0.539291217257319,2.001925113546094,True
totals,10,282,282,0.5460992907801419,1.5482774688560759,False
