market,clv_points,residual_sd,prob_per_point,win_probability,ev_-105,clears_-105,ev_-110,clears_-110,ev_-115,clears_-115,ev_-120,clears_-120
margin,0.25,15.412749945085485,0.025883913112380023,0.506470978278095,-0.011175709076100382,False,-0.03310085965090964,False,-0.053119475393126836,False,-0.0714698731568259,False
margin,0.5,15.412749945085485,0.025883913112380023,0.51294195655619,0.0014581056573233497,True,-0.020747173847273648,False,-0.04102155948190561,False,-0.05960641298031827,False
margin,0.75,15.412749945085485,0.025883913112380023,0.519412934834285,0.014091920390746804,True,-0.00839348804363782,False,-0.028923643570684665,False,-0.047742952803810856,False
margin,1.0,15.412749945085485,0.025883913112380023,0.52588391311238,0.026725735124170535,True,0.00396019775999823,True,-0.01682572765946344,False,-0.03587949262730328,False
margin,1.5,15.412749945085485,0.025883913112380023,0.53882586966857,0.051993364591017666,True,0.02866756936727005,True,0.007370104162978786,True,-0.012152572274288231,False
margin,2.0,15.412749945085485,0.025883913112380023,0.5517678262247601,0.0772609940578648,True,0.053374940974541873,True,0.031565935985420956,True,0.011574348078726815,True
total,0.25,15.955888342123606,0.02500282477837499,0.5062507061945938,-0.011605764096269289,False,-0.03352137908304825,False,-0.05353128841880295,False,-0.07187370530991138,False
total,0.5,15.955888342123606,0.02500282477837499,0.5125014123891874,0.0005979956169849809,True,-0.021588212711551258,False,-0.04184518553325828,False,-0.060414077286489676,False
total,0.75,15.955888342123606,0.02500282477837499,0.5187521185837812,0.012801755330239528,True,-0.009655046340054041,False,-0.030159082647713387,False,-0.048954449263067745,False
total,1.0,15.955888342123606,0.02500282477837499,0.525002824778375,0.02500551504349402,True,0.002278120031443176,True,-0.018472979762168495,False,-0.037494821239645815,False
total,1.5,15.955888342123606,0.02500282477837499,0.5375042371675625,0.04941303447000289,True,0.026144452774437388,True,0.00489922600892112,True,-0.01457556519280212,False
total,2.0,15.955888342123606,0.02500282477837499,0.55000564955675,0.07382055389651188,True,0.05001078551743188,True,0.028271431780010903,True,0.008343690854041741,True
