season,bets,beat_rate,mean_clv,win_probability,clears_-110
2019,70,0.7419354838709677,1.6571428571428573,0.5414332524898786,True
2021,74,0.676923076923077,1.222972972972973,0.5305777789519316,True
2022,74,0.6376811594202898,0.9121621621621622,0.5228066307100042,False
2023,125,0.6170212765957447,0.16,0.50400045196454,False
2024,170,0.7222222222222222,0.9411764705882353,0.523532070379647,False
2025,163,0.725925925925926,1.4478527607361964,0.5362004088815736,True
