variable,n,slope,t,r_squared,p
edge_at_open,4555,0.6094876675704142,71.11377076797702,0.5262309864006123,0.0
spread_books,4555,0.040464579146942924,3.304199119399044,0.0023921841852048717,0.0009598451587160059
total_books,4555,0.04045224427417933,3.29589034182417,0.002380197082967876,0.0009886173533957294
closing_spread_sd,4545,0.22000856363743887,2.033846764661621,0.0009097005626314035,0.042025036367941755
closing_total,4555,0.012796556179475966,1.1937342610715072,0.0003128828525205654,0.23264412699182377
week,4555,0.020327065944076805,1.0084078092824302,0.00022329436521826044,0.313312312784545
closing_spread_abs,4555,0.007943079382044046,0.8763094878853777,0.00016863360898758333,0.3809080390615335
neutral_site_flag,4555,-0.26038381988946474,-0.7368547304732852,0.00011923789875251505,0.46124866227309586
closing_total_sd,4540,0.10263154965446988,0.6036474092138987,8.029108359785612e-05,0.546108257172637
