book,bets,share,beat_rate,mean_clv,seasons
Bovada,401,0.4902200488997555,0.5464788732394367,0.39276807980049877,"2021, 2022, 2023, 2024, 2025"
DraftKings,199,0.24327628361858192,0.7222222222222222,1.6482412060301508,"2023, 2024, 2025"
ESPN Bet,148,0.18092909535452323,0.5289256198347108,0.6587837837837838,"2024, 2025"
5Dimes & sportbet,70,0.08557457212713937,0.5573770491803278,0.6571428571428571,2019
