group,n,graded,pushes,mean_clv,se,t,beat_rate,beat_rate_z,is_null
Atlas model,4561,4175,386,0.4058320543740408,0.03326320278516891,12.200630738871288,0.5829940119760479,10.725190002923142,False
Constant (54.3),4561,4175,386,-0.15106336329752248,0.033727653173798944,-4.478917122371112,0.45676646706586826,-5.587003738896468,True
Predictions shuffled within season,4561,4175,386,-0.0441789081341811,0.033795428450956844,-1.3072450967234377,0.4831137724550898,-2.182181515746269,True
"Opening line + N(0,1)",4561,4175,386,0.008002631001973251,0.033801552640357654,0.23675335530056216,0.49988023952095806,-0.015476464650686016,True
Closing line (known tautology),4175,4175,0,1.894491017964072,0.02244447042138094,84.40791795913131,1.0,64.61423991660043,True
