market,book,seasons,n,median_open_price,median_close_price,open_worse_share,median_cents_worse
margin,5Dimes & sportbet,"2018, 2019",1402,-110.0,-105.0,0.912981455064194,5.0
total,5Dimes & sportbet,"2018, 2019",1406,-110.0,-105.0,0.9871977240398293,5.0
