season,n,mae,rmse,r2,bias
2018,707,12.376430164390108,15.768040043663627,0.4518616467571648,0.6233942794552169
2019,699,12.199592759890168,15.47122481383643,0.5105901380983662,-0.9240243137000863
2020,508,12.83161414159695,15.977633816813087,0.41585742119673597,0.8397720610684678
2021,732,12.564522316840968,15.607750391996701,0.4483967254578529,0.5213525758398863
2022,734,12.03734786886952,15.297938076868595,0.4163600096395067,0.7687146317452878
2023,792,12.131515258546134,15.314594845589525,0.42521015959325525,0.131193714060253
2024,798,12.103073046066806,15.451518173630467,0.40705500155303587,-0.7405438117967943
2025,808,11.818997776607176,15.010826371005077,0.4469541193821355,-0.8635529105710976
