effect,n,mean,sd,se,t,p,median,n_on,n_off,mean_on,mean_off,difference,on_settled,on_rate,on_rate_z,on_beats_vig
Coming off a bye (13+ days),927.0,-0.04989212513484358,15.45334562213232,0.5075544629026326,-0.09829905710909827,0.9217161003005715,0.0,,,,,,,,,
Revenge spot (lost the last meeting),1603.0,-0.3278228321896444,14.922555051062393,0.3727146199575801,-0.8795545294868096,0.3792325943346672,-0.5,,,,,,,,,
Team is AP top 10,743.0,-0.38189771197846567,15.005819806494904,0.5505101366782061,-0.6937160399676695,0.4880774116232492,0.0,,,,,,,,,
Recurring rivalry fixture,,,,0.412642339275681,-2.380549999436246,0.017286814899850088,,2344.0,3434.0,-0.5546075085324232,0.42770821199767034,-0.9823157205300936,2293.0,0.4827736589620584,-1.6497763133209213,False
Top-10 vs top-10,,,,1.5974353100157292,1.4391650184631213,0.15010377403654743,,69.0,5709.0,2.300724637681159,0.0017516202487300753,2.298973017432429,65.0,0.5846153846153846,1.3643820804812936,False
Ranked vs ranked,,,,0.7729222505862589,2.703260535911374,0.006866290307514735,,346.0,5432.0,1.9934971098265897,-0.09591310751104566,2.0894102173376354,338.0,0.5710059171597633,2.6108558074580226,True
Bowl / postseason,,,,1.4006366266436998,0.8063837664168892,0.42002160424121027,,134.0,5644.0,1.132462686567164,0.0030120481927710845,1.129450638374393,133.0,0.556390977443609,1.3006649542861792,False
Rematch after a 21+ point loss,,,,0.7096192565751839,-2.633541211116503,0.008449958050773074,,490.0,5288.0,-1.6811224489795917,0.1876891074130106,-1.8688115563926022,485.0,0.4618556701030928,-1.6800834539900482,False
Conference game,,,,0.45392924004663887,-0.7670215855379451,0.44306868176367,,4144.0,1634.0,-0.06925675675675676,0.2789167686658507,-0.34817352542260743,4068.0,0.5022123893805309,0.28221626051507254,False
