sample,games,beat_rate,residual_sd,prob_per_point,mean_clv,prob_gain,implied_win_rate,clears_-105,clears_-110,clears_-115,clears_-120
All games,5071,0.5829940119760479,16.71387141950892,0.023868933198551212,0.4058320543740408,0.009686778195684783,0.5096867781956848,False,False,False,False
Edge ceiling (drop loudest quarter),3803,0.64672,16.143136484972068,0.02471281096909607,0.7517487612940834,0.018577825034112806,0.5185778250341128,True,False,False,False
