feature,coef_std
closing_spread,-12.5780972738539
sp_plus_diff,3.7409263062410574
sp_plus_def_diff,2.390786100539686
sp_plus_off_diff,-2.3277749674252495
def_epa_diff,2.2554120450109636
def_success_rate_diff,-1.7321718666382426
fpi_home_win_prob,0.9071432248572093
def_explosiveness_diff,-0.7811564013714679
elo_diff,0.7625071768628146
returning_production_diff,0.45484221416239706
havoc_diff,0.42752759906534316
off_epa_diff,-0.41432230851171414
travel_distance,0.3690291083603829
success_rate_diff,0.36192446617627644
spread_movement,0.31348840992874627
plays_per_game_diff,-0.2956974318734425
explosiveness_diff,-0.2532214265319778
talent_diff,-0.21792549494919872
recruiting_rank_diff,0.20868688741639002
pace_diff,0.1376086461615907
fpi_diff,-0.10250303763563029
finishing_drives_diff,-0.09582851344918049
rest_diff,-0.018356977124904184
