season,games,mean_signed_residual,sd,se,t
2018,166.0,2.5240963855421685,16.043601313854886,1.245224959397128,2.0270203921741197
2019,158.0,2.4841772151898733,14.677007765959154,1.1676400438112562,2.1275197166768542
2020,135.0,0.17037037037037037,17.192057451452428,1.4796567154781417,0.11514182214576457
2021,201.0,2.45771144278607,15.403898134443711,1.0865072016262312,2.2620295927238097
2022,217.0,1.141705069124424,15.801954296202723,1.0727065548881047,1.0643218911284797
2023,212.0,3.3172169811320753,15.365777919801463,1.0553259602871214,3.1433103192397196
2024,193.0,2.36139896373057,16.188200583661978,1.1652521756399101,2.026513241594064
2025,225.0,2.3422222222222224,14.238368355697913,0.9492245570465275,2.4675111962020333
