feature,coef_std
closing_total,6.454117220586693
off_epa_sum,0.9465111599622523
success_rate_sum,-0.7713947433910582
pace_sum,-0.7394956725678192
total_movement,0.6729822772751856
plays_per_game_sum,-0.5119039003175558
explosiveness_sum,-0.43402176026338113
def_success_rate_sum,0.3145049667625936
elo_sum,-0.24526337511079216
def_epa_sum,-0.21201317166949482
def_explosiveness_sum,0.19833935782751172
fpi_sum,-0.16401653379279385
finishing_drives_sum,-0.11154337257527115
travel_distance,-0.08916786107479079
havoc_sum,-0.013529777616468721
rest_abs,-0.00677509482749501
