group,n,graded,pushes,mean_clv,se,t,beat_rate,beat_rate_z
2019,699,645,54,0.4334763948497854,0.09745177815047952,4.448111702799673,0.5953488372093023,4.84312027039267
2021,732,648,84,0.4275956284153005,0.07719818274021496,5.5389338613608645,0.5864197530864198,4.399775527382965
2022,732,672,60,0.5683060109289617,0.088990770482147,6.386123053547145,0.6324404761904762,6.866499073313088
2023,792,747,45,0.2215909090909091,0.08106478937090301,2.733503791356865,0.5448460508701473,2.451401806436418
2024,798,731,67,0.36215538847117795,0.06918276741297806,5.234762962130955,0.5649794801641587,3.5137019269127174
2025,808,732,76,0.43873762376237624,0.0757492856365197,5.791970446660625,0.5806010928961749,4.3614054986319815
