season,games,with_weather,mean_temp,mean_wind,mean_station_miles,coverage
2018,707,611,64.07299509001636,8.12294879557377,6.319756934890413,0.8642149929278642
2019,699,612,64.07529411764706,8.107165519444445,6.297306666923885,0.8755364806866953
2020,508,473,60.68317124735729,7.276400147334755,6.193353931031425,0.9311023622047244
2021,732,672,65.97044642857142,7.3464175520833335,6.338580576792061,0.9180327868852459
2022,734,702,65.49000000000001,7.887782610113961,6.386579843066641,0.9564032697547684
2023,792,736,66.8664402173913,7.229600929755435,6.542869072390477,0.9292929292929293
2024,798,745,67.71441610738255,7.329925851409396,6.683070480317471,0.9335839598997494
2025,808,761,67.388567674113,7.175569445466492,6.536375018498133,0.9418316831683168
