filter,games,kept,win_rate,ece,brier,mean_clv,clv_beat_rate,clv_graded
No filter (all games),5071,1.0,0.4984930681133213,0.1159944610174616,0.2713512935874547,0.3125137211855104,0.5435276305828918,3963
Edge ceiling (drop loudest quarter),3803,0.74995070005916,0.5020091079560675,0.07120722545308783,0.2561236681137657,0.6211482558139535,0.6020819341840161,2978
Book agreement (drop noisiest quarter),3897,0.7684874778150266,0.494640522875817,0.11981446951657354,0.2727904571804561,0.29962973511819996,0.5375914836992681,3006
Liquidity (drop thinnest quarter),4908,0.9678564385722737,0.4992734066846585,0.11432333144451638,0.270720807161752,0.32974726775956287,0.547244094488189,3810
Scoring environment (drop the wildest quarter),3868,0.7627686846775784,0.494074269159863,0.12071778470382935,0.2714377205000758,0.2702970297029703,0.5435064935064935,3080
Mismatch (drop the biggest spreads),3832,0.7556694931966081,0.493886230728336,0.11466081864752849,0.26947796733322915,0.27710755813953486,0.5567114093959732,2980
