market,price,break_even_rate,points_required
margin,-105,0.5121951219512195,0.47114676588010623
margin,-110,0.5238095238095238,0.9198579714802076
margin,-115,0.5348837209302325,1.3476988884477428
margin,-120,0.5454545454545454,1.7560924910076656
total,-105,0.5121951219512195,0.48774976664905145
total,-110,0.5238095238095238,0.9522733539338626
total,-115,0.5348837209302325,1.3951911929728649
total,-120,0.5454545454545454,1.8179764029646432
