season,team_games,with_qb,clear_starter,distinct_qbs,coverage
2018,1466,1462,0.9158686730506156,237,0.9972714870395635
2019,1468,1466,0.9051841746248295,243,0.9986376021798365
2020,1016,968,0.8966942148760331,220,0.952755905511811
2021,1464,1463,0.8749145591250854,287,0.9993169398907104
2022,1468,1468,0.8787465940054496,297,1.0
2023,1584,1584,0.9065656565656566,285,1.0
2024,1596,1596,0.8991228070175439,281,1.0
2025,1616,1614,0.7534076827757125,483,0.9987623762376238
2026,314,314,0.60828025477707,194,1.0
