metric,target,raw_mae,adj_mae,mae_improvement,raw_rmse,adj_rmse,raw_r2,adj_r2,adjustment_helps
EPA,margin,14.154466136545974,13.586282762003817,0.5681833745421567,17.94551539429838,17.12103084861376,0.2496392149270854,0.3170041306513547,True
EPA,total,13.514562104292304,13.526960415514768,-0.012398311222463931,17.085341475744634,17.069944383700683,0.04282382053387612,0.044548233128298254,False
EPA,residual_margin,12.229171381740798,12.229203773099865,-3.239135906696333e-05,15.461759861805024,15.463901607751481,-0.0008544890787542947,-0.0011317828056047752,False
EPA,residual_total,12.719569562481349,12.71561088938832,0.003958673093029219,16.040586782928,16.037236998309947,-0.0003485393054221131,6.922624172589487e-05,True
Success Rate,margin,14.09845706106745,13.630530693335816,0.4679263677316339,17.83808879370829,17.18589249475152,0.2585960416404597,0.3118193785506066,True
Success Rate,total,13.569453780541046,13.500644279795543,0.06880950074550363,17.147940132842958,17.085308204800523,0.03579701224538312,0.04282754842239522,True
Success Rate,residual_margin,12.2291277836387,12.229203343076021,-7.555943732029391e-05,15.463262081228915,15.463484465969875,-0.0010489787235816728,-0.0010777720813401892,False
Success Rate,residual_total,12.71880241554313,12.715863025556764,0.0029393899863663364,16.040884904965598,16.03495917461372,-0.0003857235705886364,0.00035325325447610467,True
Explosiveness,margin,16.12077291439563,15.974496802808604,0.14627611158702614,20.52793916357613,20.260655100869073,0.018141370402521395,0.04354349603479535,True
Explosiveness,total,13.689049923035721,13.654827270252667,0.03422265278305403,17.28142416461464,17.249280360409944,0.02072737232324784,0.024366918794033632,True
Explosiveness,residual_margin,12.229068968612276,12.229002376431094,6.659218118265642e-05,15.4591532566002,15.460188175637006,-0.0005170614327267842,-0.000651025925578308,True
Explosiveness,residual_total,12.715884888529144,12.717231750034397,-0.001346861505252761,16.040801528279616,16.043277831306526,-0.00037532406581575195,-0.0006842143229981446,False
Havoc,margin,15.820319102360157,14.7667701179309,1.0535489844292574,20.09149197961819,18.5943039491375,0.05944838330277813,0.19440250110215307,True
Havoc,total,13.847255726175197,13.859329824991248,-0.012074098816050594,17.477867971402684,17.502679325125545,-0.0016626136100235112,-0.004508526586985084,False
Havoc,residual_margin,12.22724833380962,12.23105008141429,-0.00380174760467078,15.461082368732022,15.460808587655274,-0.0007667814524758843,-0.0007313390979779566,False
Havoc,residual_total,12.720097559159358,12.724211223054395,-0.004113663895036979,16.045786451867492,16.048582177850776,-0.0009971844388259044,-0.001346030865847725,False
Finishing Drives,margin,15.20521918620863,14.18976347858501,1.0154557076236195,19.283266515925984,17.892289063205528,0.1335979623276844,0.2540837484296493,True
Finishing Drives,total,13.787044862068218,13.704395590651812,0.08264927141640577,17.412472882558045,17.26788721575243,0.005818993571032327,0.02226094633254816,True
Finishing Drives,residual_margin,12.228771762221786,12.22789572662382,0.0008760355979653411,15.461184956612986,15.459049093477066,-0.0007800621376967687,-0.0005035785945621818,True
Finishing Drives,residual_total,12.717249178102549,12.718052778216991,-0.000803600114442915,16.03655607793249,16.0441511407949,0.00015413597841784643,-0.0007931609876157264,False
Pace,margin,16.205534881405278,16.22002654835462,-0.01449166694934334,20.707770008621342,20.72667408443727,0.0008632732907202234,-0.0009617786312510201,False
Pace,total,13.53105241289039,13.589255279854056,-0.05820286696366672,17.067725915866546,17.14774232710454,0.04479656449089653,0.0358192567578397,False
Pace,residual_margin,12.225779114083771,12.228671382860863,-0.002892268777092255,15.458052776027367,15.461578434934093,-0.0003746202031493784,-0.0008310013471504174,False
Pace,residual_total,12.720308915040992,12.719652741467666,0.0006561735733257024,16.046910578558172,16.043898187021128,-0.0011374439482843002,-0.0007616040159836857,True
Full efficiency model,margin,13.950605853564038,13.419307606481286,0.5312982470827521,17.690461640634812,16.938625710176154,0.2708169078856385,0.3314796978730442,True
Full efficiency model,total,13.16566554371028,13.21655023061952,-0.05088468690924053,16.60851183247969,16.656619544518417,0.09550536308735003,0.09025791076484446,False
Full efficiency model,residual_margin,12.230487098775052,12.223033405865287,0.007453692909765053,15.457131814633097,15.456102527520255,-0.00025542291827518326,-0.00012221376279275553,True
Full efficiency model,residual_total,12.724473224874385,12.732026457040096,-0.007553232165710355,16.04598969750186,16.05369554610634,-0.001022543070746007,-0.001984226396462896,False
