effect,n_on,n_off,mean_on,mean_off,difference,se,t,p,on_settled,on_rate,on_rate_z,on_beats_vig
Recurring rivalry fixture,2344,3434,0.36902730375426623,0.4221753057658707,-0.05314800201160447,0.43012409526121625,-0.123564344795256,0.9016602248093042,2307,0.48981361074989166,-0.9785298102307265,False
Top-10 vs top-10,69,5709,2.5253623188405796,0.37493431424067264,2.150428004599907,2.0370376228785836,1.0556643531998633,0.29112158853884684,67,0.5373134328358209,0.6108472217815261,False
Ranked vs ranked,346,5432,-1.620664739884393,0.5293630338733432,-2.1500277737577362,0.8444145743702507,-2.546175586039818,0.010891039102445054,342,0.4298245614035088,-2.5955427380922007,False
Bowl / postseason,134,5644,1.1492537313432836,0.3828401842664777,0.7664135470768059,1.4255188562118835,0.5376383088424677,0.590826777163404,134,0.5,0.0,False
Rematch after a 21+ point loss,490,5288,0.41785714285714287,0.39901664145234494,0.018840501404797927,0.7437925574474177,0.025330317191470223,0.9797914920630055,481,0.49272349272349275,-0.319172526811286,False
Conference game,4144,1634,0.6245777027027027,-0.16738066095471235,0.7919583636574151,0.46827514426454403,1.6912244293923313,0.09079394691392524,4094,0.4968246213971666,-0.4063492184652705,False
