group,n,graded,pushes,mean_clv,se,t,beat_rate,beat_rate_z
2019,698,608,90,0.9448424068767909,0.5012389459784923,1.8850139528410332,0.5476973684210527,2.3522106063960577
2021,732,617,115,0.2817622950819672,0.07029636064859353,4.008206007854044,0.5721231766612642,3.583005085916714
2022,727,619,108,0.15990371389270977,0.06894826725365111,2.3191839369138343,0.5428109854604201,2.1302498583040745
2023,792,734,58,0.35164141414141414,0.08568207559344766,4.104025395111987,0.55858310626703,3.1743179232599195
2024,798,695,103,0.019423558897243107,0.07270646396066187,0.26715037204604397,0.5280575539568345,1.4793543215312182
2025,808,690,118,0.18254950495049505,0.08005189155730703,2.280389649753781,0.5144927536231884,0.7613869876268785
