model,target,market_mae,combined_mae,mae_gain,gain_t,material
market + raw efficiency,margin,12.226534735206743,12.231648117521052,-0.005113382314310558,-0.4986641271411082,False
market + adjusted efficiency,margin,12.226534735206743,12.224455886581541,0.0020788486251984628,0.18687569904132814,False
market + adjusted (full),margin,12.226534735206743,12.231100760567251,-0.004566025360510391,-0.3314484709614876,False
market + raw efficiency,total,12.702863788757822,12.715819744756493,-0.01295595599867411,-1.6182655285424017,False
market + adjusted efficiency,total,12.702863788757822,12.7222352867432,-0.019371497985375845,-2.110415706707125,False
market + adjusted (full),total,12.702863788757822,12.722298678524114,-0.0194348897662938,-1.7869569214808436,False
