bucket,games,share
"[-1000, -3)",314,0.04674010122060137
"[-3, -2)",340,0.0506103006847276
"[-2, -1)",623,0.09273593331348616
"[-1, -0.5)",609,0.09065197975587973
"[-0.5, 0)",435,0.06475141411134266
"[0, 0.5)",1084,0.16135754688895504
"[0.5, 1)",510,0.0759154510270914
"[1, 2)",1113,0.16567430782971124
"[2, 3)",762,0.11342661506400714
"[3, 1000)",928,0.13813635010419767
