market,band,games,mean_abs_residual,mean_residual
spread,tightest,1445,12.050173010380623,-0.5698961937716263
spread,tight,1656,12.171346618357488,0.21271135265700483
spread,loose,1225,12.375714285714286,0.6324489795918368
spread,loosest,1442,12.328190013869625,-0.12569348127600555
total,tightest,1574,12.397395171537484,0.36626429479034306
total,tight,1308,12.520833333333334,0.8610474006116208
total,loose,1500,12.992333333333333,0.13133333333333333
total,loosest,1381,12.905503258508327,0.2628530050687907
