metric,kind,target,available,n_features,n,mae,rmse,r2,bias,gain,gain_se,gain_t,material,rank
adj_success_rate,adjusted,margin,True,1,5778,14.492492425727985,18.309203958050006,0.21891700516972146,-0.007568855202119306,1.7221862382404356,0.11219559953705538,15.349855478704768,True,1.0
success_rate,raw,margin,True,1,5778,14.685458797034727,18.563140982303523,0.19710050701972848,-0.011235518046077806,1.5292198669336936,0.1067713395307321,14.322381583435476,True,2.0
adj_off_epa,adjusted,margin,True,1,5778,14.712348070114768,18.59481960988998,0.19435781851830392,-0.009181391490533765,1.5023305938536509,0.10625826236798619,14.13848260242469,True,3.0
off_epa,raw,margin,True,1,5778,14.804136153535616,18.755140994891033,0.18040570948000967,-0.015000632650686652,1.410542510432804,0.10255661025446249,13.753794191646733,True,4.0
adj_def_success_rate,adjusted,margin,True,1,5778,14.894473103330087,18.78408644185135,0.17787394181889915,-0.00813757520316325,1.320205560638333,0.103794263808237,12.719446260319858,True,5.0
adj_def_epa,adjusted,margin,True,1,5778,15.020786667260973,18.935791818846447,0.16454089162600893,-0.008453031264345557,1.1938919967074457,0.1002472571979295,11.909472937999787,True,6.0
adj_finishing_drives,adjusted,margin,True,1,5778,15.05635685828323,19.04270880744941,0.15507976640370313,-0.0071449743409243505,1.158321805685189,0.0971719557798093,11.920330268024395,True,7.0
def_success_rate,raw,margin,True,1,5778,15.075248514317593,19.11825138906631,0.14836285880695854,-0.014845223688315706,1.1394301496508272,0.09959271545829852,11.440898507561325,True,8.0
def_epa,raw,margin,True,1,5778,15.147078074448558,19.20764538763166,0.14037999083199693,-0.023540505651882312,1.0676005895198593,0.09819376553219288,10.872386691086268,True,9.0
finishing_drives,raw,margin,True,1,5778,15.20521918620863,19.283266515925984,0.1335979623276844,-0.015913713815127396,1.009459477759791,0.09118154976471611,11.070874320129338,True,10.0
adj_havoc_allowed,adjusted,margin,True,1,5778,15.336426485221727,19.367676559552272,0.12599623167602259,-0.015873011421109955,0.8782521787466899,0.08866068733911603,9.905767765903791,True,11.0
adj_def_finishing_drives,adjusted,margin,True,1,5778,15.348456091876853,19.326405058807687,0.12971717506181146,-0.010305624511305369,0.8662225720915654,0.0897528429878279,9.651199262947479,True,12.0
adj_havoc,adjusted,margin,True,1,5778,15.711940398543101,19.923961149672884,0.07506837277107936,-0.01550411633126133,0.5027382654253171,0.07022958079360629,7.1584973133014405,True,13.0
havoc,raw,margin,True,1,5778,15.820319102360157,20.09149197961819,0.05944838330277813,-0.019216937736704357,0.39435956160826374,0.0662243827880548,5.9548997666067525,True,14.0
adj_explosiveness,adjusted,margin,True,1,5778,16.08086151798694,20.44322652638426,0.026228320813230677,-0.01307533351457544,0.13381714598147962,0.04356012777521179,3.07200995075201,True,15.0
adj_def_explosiveness,adjusted,margin,True,1,5778,16.130921759130096,20.524632691605095,0.018457644389266115,-0.013922951724526955,0.08375690483832308,0.03673397409695117,2.2800937523739013,True,16.0
explosiveness,raw,margin,True,1,5778,16.1417010275927,20.5815067350376,0.013010372485640076,-0.01009076960562006,0.07297763637572095,0.03398258549345564,2.1475010013518534,True,17.0
def_explosiveness,raw,margin,True,1,5778,16.195066053395,20.654033030803376,0.006042094974752832,-0.011273769618841734,0.01961261057342032,0.027927055655127313,0.7022799258044774,False,18.0
pace,raw,margin,True,1,5778,16.205534881405278,20.707770008621342,0.0008632732907202234,-0.014989840082912226,0.009143782563142052,0.01387805416591651,0.6588663262028848,False,19.0
adj_pace,adjusted,margin,True,1,5778,16.208074587374043,20.711004094586624,0.0005511637403942116,-0.014589908097544199,0.006604076594377298,0.013527116763800586,0.488210215797813,False,20.0
adj_def_pace,adjusted,margin,True,1,5778,16.2242400018306,20.721177710235057,-0.00043097171066408535,-0.014688673640661783,-0.009561337862179794,0.012475207732908956,-0.7664271462957267,False,21.0
pace,raw,residual_margin,True,1,5778,12.225779114083771,15.458052776027367,-0.0003746202031493784,-0.006296733917857226,-0.0014367810965778985,0.004001621059369163,-0.35904976389853377,False,1.0
adj_def_finishing_drives,adjusted,residual_margin,True,1,5778,12.226102312032204,15.45694499452904,-0.0002312442161509498,-0.0064714694924419384,-0.0017599790450102976,0.004286717978511729,-0.41056562475829833,False,2.0
adj_havoc,adjusted,residual_margin,True,1,5778,12.226289521146033,15.459772157113102,-0.0005971735717713589,-0.0071865311004756125,-0.001947188158839712,0.0037971286647875743,-0.5128054197627894,False,3.0
adj_pace,adjusted,residual_margin,True,1,5778,12.226793017447436,15.458460256055103,-0.0004273613933325482,-0.006185184352698037,-0.00245068446024275,0.004013162936364407,-0.6106615901478616,False,4.0
adj_explosiveness,adjusted,residual_margin,True,1,5778,12.226934737100041,15.457952213636808,-0.0003616043676504255,-0.007091267751464695,-0.002592404112847816,0.004701005792469473,-0.5514573321735915,False,5.0
havoc,raw,residual_margin,True,1,5778,12.22724833380962,15.461082368732022,-0.0007667814524758843,-0.006775767842880685,-0.002906000822426833,0.001955220880561835,-1.486277510289165,False,6.0
adj_def_epa,adjusted,residual_margin,True,1,5778,12.227503007370451,15.461422991911709,-0.0008108777337201278,-0.007051358636290048,-0.003160674383258593,0.0015971264326528085,-1.9789756894879946,False,7.0
adj_def_success_rate,adjusted,residual_margin,True,1,5778,12.227509056519356,15.46100739975592,-0.0007570762743731585,-0.006680872617899166,-0.0031667235321615776,0.002213017827573336,-1.4309525629235524,False,8.0
def_epa,raw,residual_margin,True,1,5778,12.227607175863188,15.459892299783062,-0.0006127255322889713,-0.006213107289318594,-0.003264842875994232,0.0022137412526696642,-1.4748078042350208,False,9.0
explosiveness,raw,residual_margin,True,1,5778,12.227669928542381,15.457860559795789,-0.0003497416434854461,-0.007140810132848954,-0.00332759555518911,0.004576570178985746,-0.7270937459821861,False,10.0
def_success_rate,raw,residual_margin,True,1,5778,12.228006798583827,15.461094529441931,-0.0007683557328543866,-0.006026959855905372,-0.003664465596635009,0.0015195614105570935,-2.41152846550082,False,11.0
success_rate,raw,residual_margin,True,1,5778,12.2280779682973,15.462014980426478,-0.0008875174954849907,-0.006590554910864263,-0.0037356353101083758,0.0016335067389179312,-2.2868808686904702,False,12.0
