variable,target,available,n_features,standalone_mae,standalone_gain,rmse,r2,note,gain_over_market,market_plus_mae,gain_se,gain_t,material,rank_standalone,rank_over_market
Market Spread,margin,True,1,12.226534735206743,3.9881439287616747,15.461117529178491,0.4430194616467784,"closing consensus, home-oriented",,,,,,1.0,
FPI Game Projection,margin,True,1,12.92412082196053,3.290557842007887,16.204596587731253,0.38816445342494077,ESPN pre-game matchup projection,-0.00914017050259116,12.235674905709333,0.004976320007025076,-1.836732864785217,False,2.0,13.0
Elo,margin,True,1,13.104748071496159,3.1099305924722582,16.49631953225089,0.3659370482730945,CFBD pre-game Elo,-0.005546144986913024,12.232080880193653,0.002620596694523424,-2.1163672374705618,False,3.0,12.0
Success Rate,margin,True,2,14.09845706106745,2.1162216029009677,17.83808879370829,0.2585960416404597,,-0.004982363145174384,12.231517098351915,0.001534445351043782,-3.2470124411959085,False,4.0,11.0
FPI,margin,True,1,14.103074279485604,2.1116043844828134,17.810422810545408,0.2608940191176906,"ESPN, previous season",-0.0005595624211278714,12.22709429762787,0.0005295336883469564,-1.0567078798605913,False,5.0,2.0
EPA,margin,True,2,14.154466136545974,2.0602125274224434,17.94551539429838,0.2496392149270854,,-0.0018512379314495576,12.22838597313819,0.003198992568940536,-0.5786940393120897,False,6.0,7.0
Finishing Drives,margin,True,1,15.20521918620863,1.009459477759787,19.283266515925984,0.1335979623276844,,-0.0010755926422647507,12.227610327849005,0.0006262917370339871,-1.7173987435289784,False,7.0,5.0
Havoc,margin,True,1,15.820319102360157,0.39435956160826,20.09149197961819,0.05944838330277813,,-0.0008400060296550169,12.227374741236396,0.001660345850572467,-0.5059223229698758,False,8.0,4.0
Explosiveness,margin,True,2,16.12077291439563,0.0939057495727873,20.52793916357613,0.018141370402521395,,-0.0022861012935701673,12.228820836500313,0.004533932705305989,-0.5042203848537009,False,9.0,8.0
Market Total,margin,True,1,16.212811756528673,0.0018669074397443808,20.693876756838478,0.002203504662695255,,,,,,,10.0,
Neutral Site,margin,True,1,16.21295170980238,0.001726954166038297,20.70574904765098,0.0010582839360830931,,4.239229859183602e-08,12.226534692814443,2.7588815599436077e-07,0.15365755169534182,False,11.0,1.0
Pace,margin,True,2,16.213864214136592,0.0008144498318252147,20.70012801180387,0.0016005801855092372,,-0.0023578060727041145,12.228892541279444,0.004210285807385668,-0.5600109305092922,False,12.0,9.0
Travel,margin,True,2,16.218818485371308,-0.004139821402890931,20.700400352332647,0.0015743091968059009,,-0.0012746180098692455,12.227809353216609,0.005626246326117069,-0.22654856115212396,False,13.0,6.0
Rest,margin,True,1,16.22205218903308,-0.007373525064661379,20.714084386621646,0.0002538509484876217,,-0.003805538553400789,12.230340273760142,0.001644500082051654,-2.3141005555031993,False,14.0,10.0
Line Movement,margin,True,1,16.271586928406048,-0.05690826443763086,21.512791308325397,-0.07833024394860577,,-0.000592624418080335,12.227127359624822,0.0025433243802989005,-0.23301173168115022,False,15.0,3.0
SP+,margin,False,0,,,,,"CFBD, previous season",,,,,False,,
Recruiting,margin,False,0,,,,,CFBD only,,,,,False,,
Returning Production,margin,False,0,,,,,CFBD only,,,,,False,,
Weather,margin,False,0,,,,,CFBD only,,,,,False,,
Market Total,total,True,1,12.702863788757822,1.1430802375885687,16.026842484694555,0.15775102165000576,,,,,,,1.0,
EPA,total,True,2,13.514562104292304,0.3313819220540868,17.085341475744634,0.04282382053387612,,-0.0028995351735231606,12.705763323931343,0.0043198227088754124,-0.6712162440291449,False,2.0,11.0
Pace,total,True,2,13.526597997051539,0.31934602929485223,17.070976606211374,0.044432676964963336,,0.002852492367324386,12.700011296390496,0.007731797294572369,0.36893005062701295,False,3.0,3.0
Success Rate,total,True,2,13.569453780541046,0.27649024580534487,17.147940132842958,0.03579701224538312,,-0.0013736996628090144,12.70423748842063,0.0042153513086054155,-0.32588023209469624,False,4.0,9.0
Line Movement,total,True,1,13.683649662221672,0.16229436412471898,17.247321562249315,0.024588488591288926,,0.009799269719050662,12.693064519038769,0.007951995911949294,1.2323031635775252,False,5.0,1.0
Explosiveness,total,True,2,13.689049923035721,0.15689410331066966,17.28142416461464,0.02072737232324784,,-0.0011823020765176417,12.704046090834337,0.0010920952256972278,-1.082599803293548,False,6.0,8.0
