bucket,games,share,claimed,actual,calibration_gap,z,clears_break_even
0-1,686,0.1352790376651548,0.5115305511570254,0.478134110787172,-0.0333964403698534,-1.1454053224818197,False
1-2,605,0.1193058568329718,0.5353398495784998,0.5190082644628099,-0.016331585115689884,0.9350829724090021,False
2-4,1127,0.22224413330704004,0.5694326882662879,0.4951197870452529,-0.07431290122103501,-0.3276655078039742,False
4-6,894,0.17629658844409388,0.6144866278085822,0.5033557046979866,-0.11113092311059558,0.20067001862719838,False
6-8,625,0.12324985210017748,0.6577134506249007,0.5264,-0.13131345062490074,1.319999999999999,True
8-10,394,0.07769670676395188,0.6987253718115238,0.49746192893401014,-0.2012634428775137,-0.10075854437197598,False
10+,646,0.12739104713074345,0.783349036105127,0.47368421052631576,-0.3096648255788112,-1.3377121081198786,False
