group,games,pushes,graded,mean_clv,clv_se,clv_t,median_clv,beat_rate,beat_z,consensus_beat_rate,consensus_z,book_effect
all books,8146,1490,6656,0.28204026516081515,0.025430668567800636,11.090556444037968,0.0,0.5543870192307693,8.874255115002834,0.5518175338560228,8.680016948523617,-0.0025694853747464386
5Dimes & sportbet,695,78,617,0.22446043165467625,0.09040351164482394,2.4828729279514414,0.0,0.539708265802269,1.9726657214597632,0.5454545454545454,2.2360679774997876,0.005746279652276365
Bovada,3850,552,3298,0.18246753246753247,0.032314012852069966,5.646699879177772,0.0,0.5448756822316555,5.154260750208513,0.5426682692307693,4.922964241498913,-0.002207413000886227
DraftKings,2090,576,1514,0.5074162679425838,0.05806586631428838,8.738632524590834,0.0,0.5898282694848085,6.990463403790612,0.581808097615086,6.947429567322058,-0.008020171869722481
ESPN Bet,1511,284,1227,0.2504963600264725,0.06148331327341086,4.074216997911894,0.0,0.5436022819885901,3.0546502820385637,0.5363565285379203,2.6004450211556427,-0.007245753450669801
