sample,games,beat_rate,residual_sd,prob_per_point,mean_clv,prob_gain,implied_win_rate,clears_-105,clears_-110,clears_-115,clears_-120
All games,5071,0.5435276305828918,16.76321352926852,0.02379867557642696,0.3125137211855104,0.007437412663675911,0.5074374126636759,False,False,False,False
Edge ceiling (drop loudest quarter),3803,0.6020819341840161,15.842118328991177,0.025182382312557646,0.6211482558139535,0.015641992850685335,0.5156419928506853,True,False,False,False
