line,n,mae,rmse
opening spread,5262,12.375712656784492,16.14772583960212
closing spread,5262,12.158779931584949,15.395731674130724
opening total,5268,12.799876613515565,16.130943087312186
closing total,5268,12.602695520121488,15.920430677154735
