feature,mae_increase
closing_spread,5.24597805346276
fpi_home_win_prob,0.1314599151762978
elo_diff,0.03645420698890023
pace_diff,0.01816134039013109
success_rate_diff,0.017480457130368474
havoc_diff,0.013521503787507274
explosiveness_diff,0.012158639659013244
def_epa_diff,0.010862829628661013
talent_diff,0.00741559275981102
returning_production_diff,0.007322307169523411
travel_distance,0.007165250671592979
rest_diff,0.005254801994818977
def_success_rate_diff,0.005000479665106703
off_epa_diff,0.004834251976219152
spread_movement,0.004673950365072142
recruiting_rank_diff,0.004482336246103253
sp_plus_def_diff,0.0034925911972749795
weather_precip,-0.0014203471079044497
fpi_diff,-0.0032503885480680205
def_explosiveness_diff,-0.004993921183098961
weather_temp,-0.007025739011701199
sp_plus_diff,-0.007221817892215227
plays_per_game_diff,-0.007855738020941435
weather_wind,-0.009739367174445998
finishing_drives_diff,-0.011210465811754429
sp_plus_off_diff,-0.014156150964062928
