group,n,mean,sd,se,t,p,median
2023,212,3.3172169811320753,15.365777919801463,1.0553259602871214,3.1433103192397196,0.0019108334344842982,3.0
2021,201,2.45771144278607,15.403898134443711,1.0865072016262312,2.2620295927238097,0.024770905239348835,3.0
2019,158,2.4841772151898733,14.677007765959154,1.1676400438112562,2.1275197166768542,0.03493876571391816,0.75
2024,193,2.36139896373057,16.188200583661978,1.1652521756399101,2.026513241594064,0.04409546774509276,3.5
2018,164,2.527439024390244,16.140535323146242,1.2603640601558384,2.0053245758830487,0.046583157594861195,1.5
2025,231,1.7662337662337662,14.76703167361212,0.9715993519177688,1.8178622317393756,0.07038618804872213,1.5
2022,217,1.141705069124424,15.801954296202723,1.0727065548881047,1.0643218911284797,0.28837125016364473,1.75
2020,133,0.424812030075188,17.152308599873916,1.4872937787304972,0.2856275176769669,0.7756111476418998,-0.5
