variable,n,slope,t,r_squared,p
edge_at_open,4561,0.0810867489294884,8.759885648990924,0.01655305721921508,2.7121511172777596e-18
closing_total_sd,4546,0.14319340550348905,2.0815517813487223,0.0009526254902360541,0.037439274938887206
neutral_site_flag,4561,-0.23641027354539837,-1.6511209100433333,0.0005976247016813925,0.09878276322067196
week,4561,0.009441813955173965,1.156695234348834,0.0002933869993045548,0.24745750225531193
closing_total,4561,0.004142032958964165,0.954795032454453,0.00019992351327413152,0.33973198249398034
closing_spread_sd,4551,-0.02878031470017078,-0.6568718208449156,9.484274922286567e-05,0.5112965677581974
spread_books,4561,0.0020197092045505364,0.40667664579948193,3.6275475934786326e-05,0.6842645853285019
total_books,4561,0.00198013255181434,0.3978596874152402,3.471963917910508e-05,0.6907522452687099
closing_spread_abs,4561,-0.0012573144841237776,-0.34212191852110435,2.5673262150426373e-05,0.7322749131212415
