book,bets,share,beat_rate,mean_clv,seasons
Bovada,373,0.5517751479289941,0.6596385542168675,0.806970509383378,"2021, 2022, 2023, 2024, 2025"
ESPN Bet,151,0.22337278106508876,0.765625,1.5430463576158941,"2024, 2025"
DraftKings,82,0.12130177514792899,0.6595744680851063,0.4878048780487805,"2023, 2024, 2025"
5Dimes & sportbet,70,0.10355029585798817,0.7419354838709677,1.6571428571428573,2019
