bucket,games,share,graded,mean_clv,clv_se,clv_beat_rate,clv_beat_z,win_rate_at_open,settled
0-1,608,0.13347969264544457,519,-0.07894736842105263,0.07843517009629715,0.4797687861271676,-0.9217976907429096,0.4753289473684211,608
1-2,561,0.12316136114160263,499,0.13279857397504458,0.080912078254313,0.533066132264529,1.4772828874182882,0.5311942959001783,561
2-4,1083,0.23776070252469814,924,0.141735918744229,0.05278533768629002,0.5422077922077922,2.5660116103431014,0.481994459833795,1083
4-6,795,0.17453347969264543,690,0.18553459119496854,0.07297893542604815,0.5478260869565217,2.5125770591687044,0.549685534591195,795
6-8,562,0.12338090010976949,494,0.28825622775800713,0.08723543159066836,0.6032388663967612,4.589196960791646,0.5088967971530249,562
8-10,369,0.08100987925356751,318,0.2953929539295393,0.11375909541639218,0.5534591194968553,1.90662532391295,0.4823848238482385,369
10+,577,0.12667398463227222,519,1.4298093587521663,0.6106112763831831,0.5510597302504817,2.3264417909225803,0.4748700173310225,577
