measure,n,mean,sd,se,t,p,median
line move toward the non-event side (points),792,-0.31123737373737376,2.3945933060981957,0.0850881680400808,-3.6578220087047275,0.00027121760580287437,0.0
"line move, games with no event (control)",4470,0.1517897091722595,5.574818328150554,0.08338289272434152,1.8203938987109325,0.0687658938601702,0.0
residual after the move (points),792,-0.6284722222222222,14.953625762773498,0.5313539541228369,-1.1827750924705338,0.23725368087864412,-1.0
residual | line moved >= 0.5,685,-0.8120437956204379,15.114752975576511,0.5775050257470182,-1.4061242057071928,0.16014135616898567,-1.5
residual | line barely moved,107,0.5467289719626168,13.886888534214561,1.3424961865335066,0.4072480633068609,0.6846470432261361,0.5
