band,games,mean_total,mean_closing_total,mean_residual,over_rate,settled,over_rate_z,significant
dome / calm,807,55.77199504337051,55.01889714993804,0.7530978934324659,0.52,800,1.1313708498984771,False
0-5 mph,1022,55.07142857142857,54.19422700587084,0.87720156555773,0.5257936507936508,1008,1.6378460497066525,False
5-10 mph,1971,55.11009639776763,54.48503297818366,0.6250634195839675,0.4987146529562982,1945,-0.11337314689563066,False
10-15 mph,1176,54.18622448979592,54.061011904761905,0.1252125850340136,0.472055030094583,1163,-1.9060026463004212,False
15-20 mph,245,52.861224489795916,53.494897959183675,-0.6336734693877552,0.44813278008298757,241,-1.6103915660020767,False
20+ mph,86,52.116279069767444,50.98546511627907,1.130813953488372,0.4880952380952381,84,-0.21821789023599264,False
