season,games,changes,change_rate
2018,1334,206,0.15442278860569716
2019,1336,207,0.15494011976047903
2020,879,157,0.17861205915813425
2021,1334,269,0.20164917541229385
2022,1337,303,0.22662677636499626
2023,1451,252,0.17367332873880081
2024,1462,247,0.1689466484268126
2025,1480,431,0.29121621621621624
2026,176,61,0.3465909090909091
