bucket,games,share
"[-1000, -3)",362,0.04443898846059416
"[-3, -2)",407,0.04996317210901056
"[-2, -1)",747,0.09170144856371225
"[-1, -0.5)",680,0.08347655290940338
"[-0.5, 0)",770,0.0945249202062362
"[0, 0.5)",1490,0.1829118585808986
"[0.5, 1)",844,0.10360913331696538
"[1, 2)",1279,0.15700957525165726
"[2, 3)",722,0.08863245764792536
"[3, 1000)",845,0.10373189295359686
