target,baseline,n,mae,rmse,r2,bias
margin,season mean,5778,16.214678663968417,20.7211255840459,-0.00042593834922044493,-0.011497059503460066
total,season mean,5778,13.845944026346391,17.483756571312263,-0.0023376826769268,0.024624452669478606
residual_margin,market is exactly right,5778,12.224342332987193,15.455185734747246,-3.5709649015558398e-06,-0.029205607476635514
residual_total,market is exactly right,5778,12.704871928002769,16.04279489903109,-0.000623970345907443,-0.40061439944617516
