bucket,games,share,graded,mean_clv,clv_se,clv_beat_rate,clv_beat_z,win_rate_at_open,settled
0-1,688,0.15084411313308485,622,0.02434593023255814,0.08213554793633548,0.5016077170418006,0.08019269397646174,0.4738372093023256,688
1-2,678,0.14865161148870862,599,0.2079646017699115,0.07961151539731243,0.5325542570951586,1.593496800568601,0.5368731563421829,678
2-4,1174,0.2573996930497698,1087,0.32453151618398635,0.06268011232878305,0.5722171113155474,4.761950540805931,0.5034071550255537,1174
4-6,824,0.18066213549660162,755,0.39229368932038833,0.07630978666816308,0.5920529801324503,5.058727950465531,0.5242718446601942,824
6-8,507,0.11115983336987503,475,0.6513806706114399,0.09865637776553662,0.6378947368421053,6.01069222740872,0.5641025641025641,507
8-10,341,0.07476430607322955,318,0.7785923753665689,0.13539162792824377,0.6540880503144654,5.495567110102033,0.5513196480938416,341
10+,349,0.07651830738873054,319,1.1267908309455588,0.1445748783371092,0.6990595611285266,7.110634889139349,0.49570200573065903,349
