group,n,graded,pushes,mean_clv,se,t,beat_rate,beat_rate_z
All games,4561,4175,386,0.4058320543740408,0.03326320278516891,12.200630738871288,0.5829940119760479,10.725190002923142
Move <= 3 points,3889,3503,386,0.2091797377217794,0.024492295973725795,8.540634081271016,0.5683699685983443,8.093110027499558
Line moved at all,3932,3932,0,0.47119786368260425,0.038469945333488034,12.248467202068706,0.5890132248219736,11.1632663119162
Regular season only,4140,3781,359,0.42282608695652174,0.033938045916962346,12.458763477162716,0.5882041787886803,10.84732107499817
