market,games_multi_book,identical_share,median_spread,mean_spread,p90_spread,max_spread
margin,2285,0.16542669584245076,1.0,1.4426695842450765,3.0,21.0
total,1986,0.3469284994964753,0.5,0.798590130916415,2.0,14.0
