signal_id,graded_at,close_line,clv_points,result,clv_from_open,result_from_open,total_move,pre_signal_move,execution_flagged,entry_prob,close_prob,clv_prob,prob_assumed
2f7ba39b-62c2-58d8-9cb2-7f2bb48cb0a1,2026-09-25T00:54:09+00:00,-2.500,0.000,push,-4.000,lost,-4.000,-4.000,False,0.496,0.511,0.015,True
8a8723ee-86d9-5420-939a-526eb22a031a,2026-09-25T00:54:09+00:00,49.500,-1.000,lost,-5.000,lost,-5.000,-4.000,False,0.517,0.479,-0.037,True
6fbf4c12-882c-5f4e-bcc8-b81b8e63ae75,2026-09-25T21:13:06+00:00,-3.500,-0.500,lost,-0.500,lost,-0.500,0.000,False,0.496,0.476,-0.020,True
b23c5a09-ff20-5c73-8017-e97062397da7,2026-09-25T21:13:06+00:00,48.500,0.000,push,-1.000,lost,-1.000,-1.000,False,0.489,0.511,0.022,True
73352a86-407c-58f0-8f39-f827053e7897,2026-09-25T23:25:35+00:00,50.500,-1.000,lost,-3.000,lost,-3.000,-2.000,False,0.496,0.492,-0.003,True
7773e6e6-3a2a-5c8c-b041-39ce98a96e77,2026-09-25T23:25:35+00:00,-6.500,0.500,beat,5.000,beat,5.000,4.500,True,0.500,0.513,0.013,True
1544d45a-1c2a-5882-9113-4f303146d1ea,2026-09-26T00:43:56+00:00,20.500,-0.500,lost,-3.000,lost,-3.000,-2.500,False,0.500,0.482,-0.018,True
8b60727d-078e-5e10-baa7-a6bd6cfe54c0,2026-09-26T00:43:56+00:00,49.500,-0.000,push,-2.000,lost,2.000,-2.000,False,0.504,0.496,-0.009,True
4bf04a35-0d90-5090-a864-455d2f396060,2026-09-26T02:37:40+00:00,52.500,-2.000,lost,-5.000,lost,5.000,-3.000,False,0.500,0.454,-0.046,True
856bd53e-b74b-5720-8594-1f0a0882f917,2026-09-26T02:37:40+00:00,-2.500,4.000,beat,1.000,beat,-1.000,-3.000,False,0.518,0.607,0.089,True
03bf5bff-c9e6-5842-8327-e435ae4b3b70,2026-09-26T16:07:45+00:00,-14.500,-0.500,lost,-0.500,lost,-0.500,0.000,False,0.511,0.491,-0.020,True
1f78c462-694b-514c-abda-f3f3b6f5801f,2026-09-26T16:07:45+00:00,14.500,1.000,beat,3.000,beat,3.000,2.000,True,0.496,0.515,0.020,True
34a37109-5c41-520e-8669-5b3313776768,2026-09-26T16:07:45+00:00,54.500,-1.000,lost,1.000,beat,1.000,2.000,True,0.500,0.475,-0.025,True
3a337e06-ae72-52c2-848d-3d9be83974eb,2026-09-26T16:07:45+00:00,56.500,-1.000,lost,-2.000,lost,2.000,-1.000,False,0.504,0.475,-0.029,True
451234e5-a493-56fa-952e-e906da1acf90,2026-09-26T16:07:45+00:00,53.500,-0.000,push,1.000,beat,-1.000,1.000,True,0.489,0.489,-0.000,True
758e1e7d-d259-5c4e-a62d-4a0fea0930dd,2026-09-26T16:07:45+00:00,8.500,1.500,beat,-0.000,push,0.000,-1.500,False,0.500,0.540,0.040,True
7ac5dc01-660f-58e4-9d57-2468af7a1862,2026-09-26T16:07:45+00:00,57.500,1.000,beat,1.000,beat,-1.000,-0.000,False,0.500,0.529,0.029,True
8296b804-f0e5-545d-a36c-e69aa2560cd4,2026-09-26T16:07:45+00:00,51.500,-1.000,lost,-0.000,push,0.000,1.000,True,0.483,0.475,-0.008,True
87ca4190-9730-58b2-98e9-794839b285ee,2026-09-26T16:07:45+00:00,-5.500,0.000,push,1.500,beat,1.500,1.500,True,0.500,0.500,0.000,True
8d9e2494-2dbb-576f-97f5-93e11e00e876,2026-09-26T16:07:45+00:00,34.500,-0.000,push,3.000,beat,-3.000,3.000,True,0.504,0.496,-0.009,True
9eeea5b9-32c3-5b6e-b33e-96f0ba3d3745,2026-09-26T16:07:45+00:00,46.500,-2.000,lost,-8.000,lost,-8.000,-6.000,False,0.504,0.461,-0.044,True
a10d2d6e-7268-5422-9b58-2374764c7683,2026-09-26T16:07:45+00:00,52.500,-0.000,push,-3.000,lost,3.000,-3.000,False,0.511,0.496,-0.015,True
ad0aab18-3c7d-5baf-9b11-a18a1995c17b,2026-09-26T16:07:45+00:00,50.500,2.000,beat,-2.000,lost,2.000,-4.000,False,0.511,0.550,0.039,True
b6dc21a7-0a6d-5cfb-b987-30945c386749,2026-09-26T16:07:45+00:00,-13.500,0.000,push,0.500,beat,0.500,0.500,True,0.496,0.504,0.009,True
bc548506-39d1-5bd1-ad9d-f240842c11db,2026-09-26T16:07:45+00:00,2.500,-0.500,lost,4.000,beat,4.000,4.500,True,0.500,0.504,0.004,True
c18c6301-c513-52d8-b26b-c47464250469,2026-09-26T16:07:45+00:00,54.500,1.000,beat,2.000,beat,-2.000,1.000,True,0.496,0.525,0.029,True
d624d8c7-40c3-52ad-bee3-278df0c4d6db,2026-09-26T16:07:45+00:00,25.500,2.000,beat,2.000,beat,-2.000,-0.000,False,0.504,0.548,0.043,True
deecc295-adbf-5406-87f4-2374cfb73c4f,2026-09-26T16:07:45+00:00,56.500,-2.000,lost,-1.000,lost,-1.000,1.000,True,0.500,0.461,-0.039,True
e842844e-c632-506d-b084-2aaa9a88d2c7,2026-09-26T16:07:45+00:00,2.500,1.000,beat,2.000,beat,-2.000,1.000,True,0.511,0.515,0.004,True
fe327a87-73fb-510e-8975-7bc4a91581f6,2026-09-26T16:07:45+00:00,11.500,-1.000,lost,-2.000,lost,-2.000,-1.000,False,0.500,0.474,-0.026,True
6c7b2bca-921b-5dd1-b965-a802cd8f7596,2026-09-26T16:52:39+00:00,54.500,-0.000,push,1.000,beat,-1.000,1.000,True,0.489,0.511,0.021,True
7bf2cb61-57ab-5ecd-86e1-f63217b05575,2026-09-26T16:52:39+00:00,21.000,-0.500,lost,-1.500,lost,1.500,-1.000,False,0.500,0.491,-0.009,True
a7845f12-dc8f-54d9-b8d3-e4353e50f2f9,2026-09-26T17:37:41+00:00,-2.500,-1.000,lost,-1.000,lost,-1.000,0.000,False,0.500,0.457,-0.043,True
d34a0090-9df9-5bbb-9ccc-c7a2f82f3bae,2026-09-26T17:37:41+00:00,55.500,-1.000,lost,4.000,beat,4.000,5.000,True,0.511,0.479,-0.031,True
