draft_group_id,slate,starts_at,season,week,player_id_dk,player_id,name,position,team,opponent,salary,status,projection,low,high,p_play,projected_at
153769,Main,2026-09-27T17:00:00+00:00,2026,3,403308,00-0029604,Kirk Cousins,QB,LV,NO,4800.000,,15.630,3.700,25.350,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,513856,00-0030565,Geno Smith,QB,NYJ,DET,4900.000,,14.580,2.680,24.070,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,591816,00-0033077,Dak Prescott,QB,DAL,BAL,6700.000,,19.260,7.230,29.790,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,607047,00-0033119,Jacoby Brissett,QB,ARI,SF,4800.000,,15.500,3.570,25.190,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,607843,00-0032268,Marcus Mariota,QB,WAS,SEA,4500.000,,6.470,0.000,18.870,0.546,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,613866,00-0032950,Carson Wentz,QB,MIN,TB,4600.000,,6.050,0.000,20.410,0.427,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,691536,00-0031503,Jameis Winston,QB,NYG,TEN,4000.000,,15.030,3.120,24.620,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,727837,00-0033106,Jared Goff,QB,DET,NYJ,6300.000,,20.980,8.910,31.890,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,728169,00-0033869,Mitchell Trubisky,QB,TEN,NYG,4000.000,,2.050,0.000,9.980,0.190,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,741262,00-0033949,Joshua Dobbs,QB,DET,NYJ,4000.000,,2.620,0.000,13.060,0.196,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,748070,00-0034855,Baker Mayfield,QB,TB,MIN,5300.000,,16.140,4.190,25.970,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,748309,00-0033319,Nick Mullens,QB,JAX,NE,4000.000,,1.270,0.000,4.060,0.157,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,822350,00-0034577,Kyle Allen,QB,BUF,LAC,4000.000,,1.270,0.000,4.720,0.167,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,823220,00-0034771,Mason Rudolph,QB,PIT,CIN,4000.000,,4.260,0.000,15.840,0.412,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,828743,00-0033537,Deshaun Watson,QB,CLE,CAR,4700.000,,15.960,4.020,25.760,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,831007,00-0035282,Easton Stick,QB,TB,MIN,4000.000,,0.470,0.000,0.000,0.032,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,839031,00-0033873,Patrick Mahomes,QB,KC,MIA,6200.000,,21.110,9.030,32.050,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,867303,00-0035289,Gardner Minshew II,QB,ARI,SF,4000.000,,1.940,0.000,9.330,0.186,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,868199,00-0034857,Josh Allen,QB,BUF,LAC,8000.000,,27.990,15.730,40.460,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,877745,00-0034796,Lamar Jackson,QB,BAL,DAL,7500.000,,19.710,7.670,30.340,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,878785,00-0036442,Joe Burrow,QB,CIN,PIT,6600.000,,17.910,5.910,28.130,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,879799,00-0035228,Kyler Murray,QB,MIN,TB,5100.000,,16.650,4.690,26.600,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,879981,00-0035710,Daniel Jones,QB,IND,HOU,5000.000,,12.840,0.000,24.740,0.825,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,880026,00-0034869,Sam Darnold,QB,SEA,WAS,5400.000,,14.690,2.790,24.200,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,882345,00-0035704,Drew Lock,QB,SEA,WAS,5200.000,,7.230,0.000,20.720,0.537,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,910562,00-0036355,Justin Herbert,QB,LAC,BUF,5800.000,,16.340,4.390,26.210,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,911619,00-0036679,Shane Buechele,QB,BUF,LAC,4000.000,,0.640,0.000,0.000,0.052,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,913163,00-0035993,Tyler Huntley,QB,BAL,DAL,4000.000,,2.660,0.000,13.220,0.190,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,913829,00-0037327,Skylar Thompson,QB,BAL,DAL,4000.000,IR,0.370,0.000,0.000,0.036,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,973945,00-0036972,Mac Jones,QB,SF,ARI,4000.000,,4.660,0.000,17.010,0.409,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,976323,00-0038128,Malik Willis,QB,MIA,KC,4900.000,,13.060,0.000,24.960,0.830,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,976924,00-0038102,Kenny Pickett,QB,CAR,CLE,4000.000,,3.000,0.000,12.460,0.399,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,976966,00-0038550,Hendon Hooker,QB,TEN,NYG,4000.000,,0.300,0.000,0.000,0.041,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1049254,00-0038998,Jake Haener,QB,NYG,TEN,4000.000,,0.280,0.000,0.000,0.040,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1058090,00-0038108,Bailey Zappe,QB,NYJ,DET,4000.000,,0.390,0.000,0.000,0.031,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1060311,00-0036898,Davis Mills,QB,HOU,IND,4000.000,,2.660,0.000,13.280,0.196,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1060671,00-0038476,Tommy DeVito,QB,NE,JAX,4000.000,,1.710,0.000,5.700,0.138,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1066811,00-0038579,Aidan O'Connell,QB,LV,NO,4000.000,Q,0.880,0.000,0.000,0.067,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1067089,00-0038391,Sean Clifford,QB,CIN,PIT,4000.000,,0.360,0.000,0.000,0.045,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1108052,00-0037013,Zach Wilson,QB,NO,LV,4000.000,,0.920,0.000,0.000,0.086,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1109711,00-0039677,Sam Hartman,QB,WAS,SEA,4000.000,,0.560,0.000,0.000,0.041,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1110306,00-0040743,Tyler Shough,QB,NO,LV,5400.000,,19.420,7.390,29.980,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1110681,00-0036945,Justin Fields,QB,KC,MIA,4000.000,,2.670,0.000,12.980,0.163,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1110711,00-0036971,Trevor Lawrence,QB,JAX,NE,5700.000,,20.070,8.020,30.780,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1112338,00-0039398,Joe Milton III,QB,DAL,BAL,4000.000,,0.670,0.000,0.000,0.058,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1116663,00-0039152,Will Levis,QB,NYJ,DET,4000.000,,0.370,0.000,0.000,0.028,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1121761,00-0037834,Brock Purdy,QB,SF,ARI,6500.000,,20.860,8.790,31.740,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1130975,00-0037012,Trey Lance,QB,LAC,BUF,4000.000,,1.870,0.000,8.660,0.177,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1161228,00-0039910,Jayden Daniels,QB,WAS,SEA,6000.000,OUT,15.800,3.860,25.560,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1164951,00-0040211,Graham Mertz,QB,HOU,IND,4000.000,IR,0.830,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1165333,00-0040704,Dillon Gabriel,QB,CLE,CAR,4000.000,IR,0.510,0.000,0.000,0.045,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1166989,00-0040589,Kurtis Rourke,QB,SF,ARI,4000.000,,0.850,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1168245,00-0037077,Sam Howell,QB,DAL,BAL,4000.000,,1.900,0.000,6.920,0.135,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1169299,00-0040981,Joe Fagnano,QB,BAL,DAL,4000.000,,0.860,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1169329,00-0040494,Max Brosmer,QB,MIN,TB,4000.000,,0.340,0.000,0.000,0.049,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1174752,00-0039376,Spencer Rattler,QB,NO,LV,4000.000,,2.220,0.000,10.350,0.167,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1213257,00-0039150,Bryce Young,QB,CAR,CLE,5600.000,,18.960,6.940,29.420,1.000,2026-09-25T01:05:59+00:00
