run_id,started_at,finished_at,command,provider,code_version,quotes,snapshots_added,signals_added,grades_added,exceptions,alerts,status,detail
405dbe10-0343-4061-814a-56faf7e63b4f,2026-09-22T17:42:29+00:00,2026-09-22T17:42:31+00:00,poll,espn,12eefca,116,2,0,0,0,1,ok,
f3c7fb22-dee8-477c-9056-501f62426374,2026-09-22T17:45:05+00:00,2026-09-22T17:45:06+00:00,poll,espn,12eefca,116,0,0,0,0,1,ok,
5cf197b3-ffb2-4a40-977c-9fd6279e886e,2026-09-23T02:41:58+00:00,2026-09-23T02:41:59+00:00,poll,espn,e984cbd,116,13,0,0,0,1,ok,
5797e372-ebab-4773-81fa-b32a27d7af36,2026-09-23T02:42:23+00:00,2026-09-23T02:42:25+00:00,poll,espn,e984cbd,116,0,0,0,0,1,ok,
34801dd8-7b0e-4d3b-804e-5c5da7d1beb7,2026-09-23T18:25:04+00:00,2026-09-23T18:25:05+00:00,poll,espn,8f00416,142,50,0,0,0,1,ok,
fa45932a-a52b-45eb-86f9-a35c09944034,2026-09-23T18:28:56+00:00,2026-09-23T18:28:57+00:00,poll,espn,73a5e90,142,1,0,0,0,1,ok,
7bc4add8-a571-4975-9b52-7d43b746b69f,2026-09-23T18:31:10+00:00,2026-09-23T18:31:12+00:00,poll,espn,c08fb36,142,0,0,0,0,1,ok,
677273b0-a205-40b9-911d-0066deca7488,2026-09-23T19:53:36+00:00,2026-09-23T19:53:37+00:00,poll,espn,f695d39,142,142,116,0,0,0,ok,
866eddd0-e76e-4ed9-9510-6be48278797c,2026-09-23T19:58:31+00:00,2026-09-23T19:58:32+00:00,poll,espn,92ba9e4,142,8,0,0,0,0,ok,
1e7fce13-a180-4f13-b524-c0b9aed42038,2026-09-23T20:04:04+00:00,2026-09-23T20:04:05+00:00,poll,espn,b9fbb8e,142,1,0,0,0,0,ok,
