signal_id,created_at,run_id,game_id,season,week,market,book,open_line,entry_line,entry_price,atlas_number,disagreement,direction,selection,model_version
d7a9f47a-e551-5361-b3bb-7226672947ff,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401856816,2026,4,margin,DraftKings,-11.500,-7.500,-105.000,-7.143,0.357,home,observed,73d507ab32ad
5196db64-2666-5d5b-b1ed-f36f46dbba80,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401856816,2026,4,total,DraftKings,49.500,48.500,-105.000,50.687,2.187,over,observed,64a8b2aa5365
5792fe1e-bfaa-5884-9c68-792c8591005d,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401856881,2026,4,margin,DraftKings,-2.500,1.500,-112.000,4.344,2.844,home,observed,73d507ab32ad
32b4a1c1-cf0d-56bc-8021-82e5f67a3c98,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401856881,2026,4,total,DraftKings,57.500,59.500,-115.000,54.933,-4.567,under,observed,64a8b2aa5365
856bd53e-b74b-5720-8594-1f0a0882f917,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858234,2026,4,margin,DraftKings,-1.500,1.500,-102.000,-2.529,-4.029,away,observed,73d507ab32ad
4bf04a35-0d90-5090-a864-455d2f396060,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858234,2026,4,total,DraftKings,47.500,50.500,-110.000,45.499,-5.001,under,observed,64a8b2aa5365
2da90260-e4ac-5a8e-a5c8-45d9044724e1,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858238,2026,4,margin,DraftKings,42.500,41.500,-105.000,31.938,-9.562,away,observed,73d507ab32ad
2e367ffe-4ed8-5de2-8772-bfa985e7c916,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858238,2026,4,total,DraftKings,54.500,53.500,-115.000,42.326,-11.174,under,primary,64a8b2aa5365
a97f8f93-0763-541a-b198-dfc49211368a,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858239,2026,4,margin,DraftKings,20.500,19.500,-110.000,11.436,-8.064,away,observed,73d507ab32ad
64f6a649-64dc-5aef-89ff-256fdca4c72f,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858239,2026,4,total,DraftKings,54.500,52.500,-108.000,49.499,-3.001,under,observed,64a8b2aa5365
14a9e71b-54d4-5cf6-8e8e-f6deaedbcbdc,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858240,2026,4,margin,DraftKings,-4.500,-3.500,-118.000,-7.088,-3.588,away,observed,73d507ab32ad
